model,hyperparams,ngram_range,val_acc,val_f1,train_seconds
mnb,"{""alpha"": 0.5}","(1, 1)",0.7895490336435218,0.8071148836439356,0.06145462499989662
lr_tfidf,"{""C"": 1.0}","(1, 1)",0.7773801002147459,0.7966647312651861,0.09091962499951478
lr_w2v,"{""C"": 0.01, ""w2v_dim"": 100}",n/a,0.6936292054402291,0.7245751653754331,1.2041750839998713
wordlist,"{""K"": 500, ""delta"": 0}","(1,1)",0.670722977809592,0.6747383754674017,0.01753379100409802
